repo_url,readme_found,readme_excerpt
https://github.com/ethpandaops/checkpointz,True,"Checkpointz

Checkpointz simplifies the process of running an Ethereum Beacon Chain checkpoint sync endpoint.

> :warning: Checkpointz is still in heavy development. Use with caution. Using with a beacon node that is attached to a validator is currently not recommended.

Contents
Features
What is checkpoint sync?
Supported Beacon clients
Usage
Configuration
Simple example
Full mode
Disabled frontend
Full example
Getting Started
Download a release
Docker
Images
Kubernetes via Helm
Grafana
Contributing
Running locally
Backend
Frontend
Contact

Features
Operating mode:
- The default mode of operation. Provides enough data for users to use your instance to verify the state they got from somewhere else.
- Provides all the functionality of mode, with the additional ability to serve state request"
https://github.com/argotorg/act,True,"Act

Act is a formal specification language for constructing exhaustive, mathematically rigorous descriptions of EVM smart contracts.

Act specifications are written in a high-level, human-readable language that can be proved equivalent to EVM bytecode, currently via the hevm symbolic execution engine.

Specifications can be extracted to a proof assistant (currently Rocq), accurately modeling contract behavior as a state transition system and enabling verification of complex properties and invariants.

The core vision of Act is to provide a provably correct mapping from EVM bytecode to a high-level mathematical model that can be embedded into a variety of analysis and verification tools.

In-depth documentation is available in The Act Book.

Act builds on the previous Act project.

Buildin"
https://github.com/ethdebug/format,True,"ethdebug format

Because debugging on Ethereum is hard.

Problem statement

Smart contracts offer the fundamental promise that code execution is verifiably
transparent. Not only is this necessary to ensure network liveness,
but this ability to directly observe the step-by-step operation of the
Ethereum Virtual Machine (EVM) affords a foundation for public trust amongst
software developers, auditors, and end-users at large.

Unfortunately, direct observation of the EVM fails to connect
low-level system behavior with any code authors' original framework of
meaning. Humans usually write programs in high-level languages that they must
compile to a form the machine can execute. It is
extremely impractical to reason about the machine-code that compilers
output and the system behavior that result"
https://github.com/powdr-labs/powdr,True,"powdr

> WARNING: This codebase is experimental and has not been audited. DO NOT USE FOR PRODUCTION!

If you have any questions or want to contribute, feel free to write us in our Matrix Chat.

powdr provides state-of-the-art performance and security to zkVMs, enhancing them with compiler-based techniques including static analysis and formal verification.

The main components are:
Autoprecompiles: automated synthesis of guest-specific precompiles.
Constraint Solver: compile-time solver used to detect potential optimizations and security issues.
powdr-OpenVM: powdr extensions for OpenVM.

powdr-legacy

The previous versions of powdr are now archived in the powdr-legacy repository.
It contains all previous crates regarding provers, powdr-asm, powdr-pil, powdrVM, stdlib circuits and RISC-V su"
https://github.com/evmts/tevm-monorepo,True,"Tevm 

 JavaScript-Native Ethereum Virtual Machine 

Note: we are near the end of a large rewrite to zig. It is expected we get a new stable version of Tevm in November

🚀 The EVM for TypeScript, JavaScript, and the Modern Web

Tevm puts an Ethereum node anywhere JavaScript runs—Node, browser, serverless, edge, or desktop. Instantly fork mainnet, simulate complex contracts, and run full-stack devnets, all with TypeScript-first safety and blazing speed.

If you use viem, wagmi, 0x, or build modern Ethereum apps, Tevm is the engine that powers next-level shipping, testing, and UX.

✨ Why Tevm?
⚡ Ship at Lightspeed: Instant feedback. Test and deploy with no wait, no Docker, no slow subprocesses. Build and iterate like the Rust and Go elite—now in JS.
🚫 Goodbye, Loading Spinners: Deliver real"
https://github.com/TrueBlocks/trueblocks-core,True,"⚠️ If you have an installation earlier than v6.0.0, complete applicable Migrations before proceeding.

 TrueBlocks / Unchained Index 

Table of Contents
⚠️ If you have an installation earlier than v6.0.0, complete applicable Migrations before proceeding.
Introduction
Installing
Command line
Chifra Serve
Troubleshooting
The unchained index
Docker version
Documentation
Linting
Contributing
Contact
List of Contributors

Introduction

TrueBlocks improves access to blockchain data for EVM-compatible chains (particularly Ethereum mainnet) while remaining entirely local.

Features:
and which builds the Unchained Index, an index of address appearances that provides lightning-fast access to transactional histories,
An optional binary cache, which speeds up queries to the RPC by orders of magnitude,"
https://github.com/shazow/whatsabi,True,"WhatsABI

Guess an ABI and detect proxies from an Ethereum bytecode, even if it's unverified.

WhatsABI is perfect for building procedural frontends, embedding in wallets, block explorers, or doing bytecode analysis.

🤝 Used by Otterscan, Sourcify, Ondora, Rivet, and more great projects.

Features

What can WhatsABI do?
Return selectors from bytecode.
Look up function signatures from selectors.
Helpers for looking up ABI and signatures from public databases (like Sourcify, Etherscan, Blockscout, OpenChain, 4Byte).
✨ Resolve proxy contracts!
Small bundle (less than 15 KB) that works with Ethers.js, Viem, and others.

WhatsABI is different from other EVM analysis tools in some important ways:
Built in Typescript with minimal dependencies, so that it is runnable in the browser and embeddable"
https://github.com/chainsafe/lodestar,True,"Lodestar Ethereum Consensus Implementation

Lodestar is a TypeScript implementation of the Ethereum Consensus specification developed by ChainSafe Systems.

Getting started
:gear: Follow the instructions for build from source, binaries, or Docker to install Lodestar. Or use our Lodestar Quickstart scripts.
:books: Use Lodestar libraries in your next Ethereum Typescript project.
:globewithmeridians: Run a beacon node on mainnet or a public testnet.
:computer: Utilize the whole stack by starting a local testnet.
:spiral_notepad: View the Lodestar CLI commands and options.
:nerd_face: View the Package and dependency structure.
:memo: Prospective contributors can read the contributing section to understand how we develop and test on Lodestar.
:writing_hand: If you have questions submit an issu"
https://github.com/erigontech/silkworm,True,"Silkworm - C++ Ethereum Execution Client

C++ implementation of the [Ethereum] Execution Layer (EL) protocol based on the [Erigon architecture].

Table of Contents
About Silkworm
About Silkworm for Erigon, aka Erigon++
Obtaining Source Code
Building on Linux & macOS
Building on Windows
Testing Silkworm
Contributing
License

About Silkworm

Silkworm is a greenfield C++ implementation of the Ethereum protocol based on the [Erigon architecture].
It aims to be the fastest Ethereum client while maintaining the high quality and readability of its source code.
Silkworm uses [libmdbx] as the database engine.

Silkworm was conceived as an evolution of the [Erigon] project, as outlined in its release commentary.

Silkworm is under active development and hasn't reached the alpha phase yet.
Hence, the"
https://github.com/ethpandaops/ethereum-helm-charts,True,"Ethereum Helm Charts

A set of Helm charts to run multiple components of the Ethereum blockchain on Kubernetes.

Deployment examples that use these helm charts can be found under ethpandaops/ethereum-k8s-testnets.

Usage

Helm must be installed to use the charts. Please refer to
Helm's documentation to get started.

Once Helm has been set up correctly, add the repo as follows:

If you had already added this repo earlier, run to retrieve
the latest versions of the packages. You can then run the following command to see the charts.

To install the ethstats chart:

To uninstall the chart:

List of charts

Execution layer clients

Consensus layer clients

Generic
- Umbrella chart that uses the execution and consensus layer client charts.

Tooling
- A prometheus exporter for Ethereum validator"
https://github.com/DefiLlama/DefiLlama-Adapters,True,"Defillama Adapters

Follow this guide to create an adapter and submit a PR with it.

Also, don't hesitate to send a message on our discord if we're late to merge your PR.

> If you would like to add a adapter please submit the PR here
> - If you would like to add a adapter, please refer to this readme document for details.

1. PLEASE PLEASE enable ""Allow edits by maintainers"" while putting up the PR.
2. Once your adapter has been merged, it takes time to show on the UI. No need to notify us on Discord.
3. TVL must be computed from blockchain data (reason: if you have trouble with creating the adapter, please hop onto our discord, we are happy to assist you.
4. For updating listing info It is a different repo, you can find your listing in this file: you can edit it there and put up a PR
5."
https://github.com/blockscout/blockscout,True,"Blockscout 
 Blockchain Explorer for inspecting and analyzing EVM Chains. 

Blockscout provides a comprehensive, easy-to-use interface for users to view, confirm, and inspect transactions on EVM (Ethereum Virtual Machine) blockchains. This includes Ethereum Mainnet, Ethereum Classic, Optimism, Gnosis Chain and many other Ethereum testnets, private networks, L2s and sidechains.

See our project documentation for detailed information and setup instructions.

For questions, comments and feature requests see the discussions section or via Discord.

About Blockscout

Blockscout allows users to search transactions, view accounts and balances, verify and interact with smart contracts and view and interact with applications on the Ethereum network including many forks, sidechains, L2s and testnets"
https://github.com/argotorg/hevm,True,"hevm
hevm is an implementation of the Ethereum virtual machine (EVM) made for
symbolic execution, equivalence checking, and (symbolic) unit testing of smart
contracts. can symbolically execute smart contracts, perform symbolic
equivalence testing, and run arbitrary EVM code. In particular, it can run
Forge test suites in a
symbolic way, thereby being much more thorough than fuzz testing.

Documentation & Support
User facing documentation can be found in the hevm book.
We have a public matrix chat room
here.

Installing via Static Binaries
Static binaries for x86 linux and macos are available for each
release. These binaries expect to have installed.
You can install via your package manager, such as on Ubuntu,
or on macOS.

Quick User Guide for a Forge Project
For a Forge project, you can r"
https://github.com/wevm/viem,True,"[!IMPORTANT] -->
 Viem is participating in Gitcoin Grants round 21. Consider supporting the project . Thank you. 🙏 -->

 TypeScript Interface for Ethereum

Features
Abstractions over the JSON-RPC API to make your life easier
First-class APIs for interacting with Smart Contracts
Language closely aligned to official Ethereum terminology
Import your Browser Extension, WalletConnect or Private Key Wallet
Browser native BigInt, instead of large BigNumber libraries
Utilities for working with ABIs (encoding/decoding/inspection)
TypeScript ready (infer types from ABIs and EIP-712 Typed Data)
First-class support for Anvil, Hardhat & Ganache
Test suite running against forked Ethereum network

... and a lot more.

Overview

Documentation

Head to the documentation to read and learn more about viem."
https://github.com/vyperlang/vyper,True,"Getting Started
See Installing Vyper to install vyper.
See Tools and Resources for an additional list of framework and tools with vyper support.
See Documentation for the documentation and overall design goals of the Vyper language.

See learn.vyperlang.org for learning Vyper by building a Pokémon game.
See try.vyperlang.org to use Vyper in a hosted jupyter environment!

Note: Vyper is constantly evolving, use with care and understand the risks associated with smart contract development.

Installation
See the Vyper documentation
for build instructions.

Compiling a contract
To compile a contract, use:

generate bytecode

 vyper -f bytecode file-name.vy > file-name.bin

generate abi

 vyper -f abi file-name.vy > file-name.abi

There is also an online compiler available you can use to experi"
https://github.com/vyperlang/titanoboa,True,"Titanoboa

A Vyper interpreter with pretty tracebacks, forking, debugging features and more! Titanoboa's goal is to provide a modern, advanced and integrated development experience for vyper users.

Architecture

Titanoboa achieves feature parity with the vyper compiler while providing an interpreted experience. How does it do this? Internally, titanoboa uses vyper as a library to compile source code to bytecode, and then runs the bytecode using py-evm, adding instrumenting hooks to provide introspection. The use of means that the entire experience is highly configurable, down to the ability to patch opcodes and precompiles at the EVM level.

Documentation

Usage and quickstart are below. For more detailed documentation, please see the documentation.

Installation

For latest dev version:"
https://github.com/status-im/nimbus-eth2,True,"Nimbus Eth2 (Beacon Chain)

Nimbus-eth2 is an extremely efficient consensus layer (eth2) client implementation. While it's optimised for embedded systems and resource-restricted devices -- including Raspberry Pis, its low resource usage also makes it an excellent choice for any server or desktop (where it simply takes up fewer resources).
Documentation
Quickly test your tooling against Nimbus
Migrate from another client
Related projects
Donations
Branch guide
Developer resources
Tooling and utilities
For researchers
Block simulation
Local network simulation
Visualising simulation metrics
CI setup
License

Documentation

You can find the information you need to run a beacon node and operate as a validator in The Book.

The Quickstart in particular will help you quickly connect to either mai"
https://github.com/scaffold-eth/scaffold-eth-2,True,"🏗 Scaffold-ETH 2

 Documentation |
 Website 

🧪 An open-source, up-to-date toolkit for building decentralized applications (dapps) on the Ethereum blockchain. It's designed to make it easier for developers to create and deploy smart contracts and build user interfaces that interact with those contracts.

> [!NOTE]
> 🤖 Scaffold-ETH 2 is AI-ready! It has everything agents need to build on Ethereum. Check , , or for more info.

⚙️ Built using NextJS, RainbowKit, Foundry/Hardhat, Wagmi, Viem, and Typescript.
✅ Contract Hot Reload: Your frontend auto-adapts to your smart contract as you edit it.
🪝 Custom hooks: Collection of React hooks wrapper around wagmi to simplify interactions with smart contracts with typescript autocompletion.
🧱 Components: Collection of common web3 components to quickly"
https://github.com/OffchainLabs/prysm,True,"Prysm: An Ethereum Consensus Implementation Written in Go 

📖 Overview

This is the core repository for Prysm, a Golang implementation of the Ethereum Consensus specification, developed by Offchain Labs.

See the Changelog for details of the latest releases and upcoming breaking changes.

🚀 Getting Started

A detailed set of installation and usage instructions as well as breakdowns of each individual component are available in the official documentation portal.

💬 Need help? Join our Discord Community for support.

🏆 Staking on Mainnet

To participate in staking, you can join the official Ethereum launchpad. The launchpad is the only recommended way to become a validator on mainnet.

🔍 Explore validator rewards/penalties:
beaconcha.in
beaconscan

🤝 Contributing

🔥 Branches

Prysm maintains"
https://github.com/safe-global/safe-smart-account,True,"Safe Smart Account

> [!WARNING]
> This branch contains changes that are under development. To use the latest audited version, make sure to use the correct commit. The tagged versions that are used by the Safe team can be found in the releases.

Usage

Install requirements with npm:

Testing

To run the tests:

Optionally, if you want to run the ERC-4337 compatibility test, it uses a live bundler and node, so it contains some prerequisites:

1. Define the environment variables:

2. Pre-fund the executor account derived from the mnemonic with some Native Token to cover the deployment of an ERC-4337 module and the pre-fund of the Safe for the test operation.

Deployments

A collection of the different Safe contract deployments and their addresses can be found in the Safe deployments reposito"
https://github.com/paradigmxyz/reth,True,"reth

[ ][gh-ci]
[ ][gh-lint]
][tg-url]

Modular, contributor-friendly and blazing-fast implementation of the Ethereum protocol

Install
| User Docs
| Developer Docs
| Crate Docs

[gh-ci]: 
[gh-lint]: 
[tg-badge]: 

> Note: OP-Reth has moved
>
> The Optimism (op-reth) crates have been moved to ethereum-optimism/optimism.
> Git contribution history has been preserved. If you are looking for op-reth, please see the new repository.

What is Reth?

Reth (short for Rust Ethereum, pronunciation) is a new Ethereum full node implementation that is focused on being user-friendly, highly modular, as well as being fast and efficient. Reth is an Execution Layer (EL) and is compatible with all Ethereum Consensus Layer (CL) implementations that support the Engine API. It is originally built and driven f"
https://github.com/openzeppelin/openzeppelin-contracts,True,"A library for secure smart contract development. Build on a solid foundation of community-vetted code.
Implementations of standards like ERC20 and ERC721.
Flexible role-based permissioning scheme.
Reusable Solidity components to build custom contracts and complex decentralized systems.

:mage: Not sure how to get started? Check out Contracts Wizard — an interactive smart contract generator.

> [!IMPORTANT]
> OpenZeppelin Contracts uses semantic versioning to communicate backwards compatibility of its API and storage layout. For upgradeable contracts, the storage layout of different major versions should be assumed incompatible, for example, it is unsafe to upgrade from 4.9.3 to 5.0.0. Learn more at Backwards Compatibility.

Overview

Release tags

We use NPM tags to clearly distinguish bet"
https://github.com/nomicfoundation/hardhat,True,"Hardhat is an Ethereum development environment for professionals. It facilitates performing frequent tasks, such as running tests, automatically checking code for mistakes or interacting with smart contracts.

Built by the Nomic Foundation for the Ethereum community.

> 💡 This is the README for Hardhat 3, the new major version of Hardhat. For the previous version (v2), see this branch instead.

Getting started

To install Hardhat and initialize a new project, run the following command in an empty directory:

This will take you through an interactive setup process to get started.

Learn more

To learn more about Hardhat, check out the documentation.

Contributing

Contributions are always welcome! Feel free to open any issue or send a pull request.

Go to CONTRIBUTING.md to learn about how"
https://github.com/nethermindeth/nethermind,True,"Nethermind Ethereum client

Nethermind is an Ethereum execution client built on .NET. Nethermind is the fastest client in terms of throughput, block processing, transactions per second (TPS), and syncing new nodes. With its modular design and plugin system, it offers extensibility and features for new chains. As one of the most adopted execution clients on Ethereum, Nethermind plays a crucial role in enhancing the diversity and resilience of the Ethereum ecosystem.

Documentation

Nethermind documentation is available at docs.nethermind.io.

Supported networks

Ethereum · Gnosis · Optimism · Base · Taiko · World Chain · Linea · Energy Web

Installing

The standalone release builds are available on GitHub Releases.

Package managers
Linux

 On Debian-based distros, Nethermind can be install"
https://github.com/nethereum/nethereum,True,"Nethereum

Nethereum is the .NET integration platform for Ethereum and EVM-compatible blockchains. It provides a complete development stack — from smart contract interaction and transaction signing, through a full EVM simulator and in-process Ethereum node, to blockchain data indexing, an ERC-4337 account abstraction bundler, a Blazor blockchain explorer, MUD framework support, multi-platform wallet UIs, Unity game integration, and .NET Aspire orchestration. Nethereum targets netstandard 2.0 through .NET 10, .NET Framework 4.5.1+, and Unity, running on Windows, Linux, macOS, Android, iOS, WebAssembly, and game consoles.

Try Nethereum in Your Browser

Go to playground.nethereum.com to browse and execute samples directly in your browser — no setup required.

Quick Start

Get an account bala"
https://github.com/hyperledger-web3j/web3j,True,"Web3j: Web3 Java Ethereum Dapp API
==================================

Web3j is a lightweight, highly modular, reactive, type safe Java and
Android library for working with Smart Contracts and integrating with
clients (nodes) on the Ethereum network:

This allows you to work with the Ethereum
blockchain, without the additional overhead of having to write your own
integration code for the platform.

The Java and the Blockchain talk provides
an overview of blockchain, Ethereum and Web3j.

NEW! Get involved!

Since Web3J moved under Hyperledger we started to do Web3J Contributors calls every 2 weeks!
Subscribe to our community page and to see check our call schedule.
Your contribution matters!
Community Link - Check our last updates! 
Calendar Invite - Add the contributor call to your calenda"
https://github.com/grandinetech/grandine,True,"Grandine: A fast and lightweight Ethereum consensus client

Documentation

The documentation is available here. Feel free to reach us if you would like more details in some documentation chapters or have any questions.

Performance

Grandine is a optimised and parallelised client. There aren't many published performance comparisons, but a previous research by MigaLabs may give some insight. We run 50,000 Holesky validators on one of our developer's machine.

Memory Usage

Grandine is a lightweight client and needs only ~2.5GB of memory on the mainnet. In order to measure the amount of memory that Grandine actually needs one should stress the operating system to release the shared memory. is an easy way to do it:

Build

Rust is needed in order to build Grandine. We recommend to use rustup."
https://github.com/foundry-rs/foundry,True,"&nbsp;

][gha-url] ][tg-url] ][tg-support-url]

[gha-badge]: 
[gha-url]: 
[tg-badge]: 
[tg-url]: 
[tg-support-badge]: 
[tg-support-url]: 

Install
| [Docs][foundry-docs]
| Benchmarks
| Developer Guidelines
| Contributing
| Crate Docs

Blazing fast, portable and modular toolkit for Ethereum application development, written in Rust.
Forge — Build, test, fuzz, debug and deploy Solidity contracts.
Cast — Swiss Army knife for interacting with EVM smart contracts, sending transactions and getting chain data.
Anvil — Fast local Ethereum development node.
Chisel — Fast, utilitarian and verbose Solidity REPL.

Installation

See the installation guide for more details.

Getting Started

Initialize a new project, build and test:

Interact with a live network:

Fork mainnet locally:

Read the [Foundry"
https://github.com/ethers-io/ethers.js,True,"The Ethers Project
==================

A complete, compact and simple library for Ethereum and ilk, written
in TypeScript.

Features
Keep your private keys in your client, safe and sound
Import and export JSON wallets (Geth, Parity and crowdsale)
Import and export BIP 39 mnemonic phrases (12 word backup phrases) and HD Wallets (English as well as Czech, French, Italian, Japanese, Korean, Simplified Chinese, Spanish, Traditional Chinese)
Meta-classes create JavaScript objects from any contract ABI, including ABIv2 and Human-Readable ABI
Connect to Ethereum nodes over JSON-RPC, INFURA, Etherscan, Alchemy, Ankr or MetaMask
ENS names are first-class citizens; they can be used anywhere an Ethereum addresses can be used
Small (~144kb compressed; 460kb uncompressed)
Tree-shaking focused; include"
https://github.com/argotorg/sourcify,True,"&nbsp;

 &nbsp;

Sourcify (sourcify.dev) is a source-code verification service for Ethereum smart contracts supporting Solidity and Vyper. Sourcify is fully commited to
Open-source (MIT License)
Open-data (see Downloading the repository)
Open-standards (see the Verifier Alliance)

in smart-contract verification instead of siloed, propriety services. We foster these values across the ecosystem and work actively to push the status-quo in this direction.

Different than other verification services, Sourcify leverages the Solidity metadata and its integrity hash to ""fully verify"" the Solidity contracts (see the playground).

Sourcify mainly consists of:
sourcify-server - an HTTP server to run source-code verifications and store the verified contracts for the supported chains through an API
sou"
https://github.com/argotorg/solidity,True,"The Solidity Contract-Oriented Programming Language

You can talk to us on Gitter and Matrix, tweet at us on X (previously Twitter) or create a new topic in the Solidity forum. Questions, feedback, and suggestions are welcome!

Solidity is a statically-typed, contract-oriented, high-level language for implementing smart contracts on the Ethereum platform.

For a good overview and starting point, please check out the official Solidity Language Portal.

Table of Contents
Background
Build and Install
Example
Documentation
Development
Maintainers
License
Security

Background

Solidity is a statically-typed curly-braces programming language designed for developing smart contracts
that run on the Ethereum Virtual Machine. Smart contracts are programs that are executed inside a peer-to-peer
netwo"
